50000
12 283 345
55 287 336
49 245 306
9 273 394
92 272 328
89 266 337
39 286 342
43 205 361
96 293 359
57 297 308
28 278 400
64 293 311
52 270 304
52 235 338
24 256 344
39 295 340
66 239 323
14 297 358
40 257 303
97 226 367
46 234 313
61 252 357
6 293 333
41 203 305
35 276 389
64 215 310
39 271 376
32 263 332
37 223 352
78 239 377
55 227 327
6 277 315
86 227 328
31 204 310
39 288 370
36 200 373
87 241 385
97 238 347
33 272 345
44 236 354
6 247 385
93 258 391
18 294 355
13 269 373
63 298 376
80 220 322
59 276 381
10 285 333
90 213 320
4 233 398
64 260 340
37 206 370
20 280 390
24 258 350
52 281 301
50 271 330
96 296 301
10 271 368
83 250 370
31 262 323
35 235 388
7 281 318
94 289 326
4 285 374
43 206 348
27 300 308
41 278 330
37 212 382
29 239 358
64 267 310
12 227 304
41 252 304
11 201 387
98 282 381
60 269 366
12 209 325
59 273 364
86 283 385
14 267 384
21 285 323
37 209 337
10 248 400
13 254 305
54 215 328
5 247 394
94 252 361
46 287 302
3 280 333
36 230 306
7 259 353
29 207 345
38 248 388
52 276 358
81 212 302
52 211 378
54 251 394
65 280 315
16 266 367
22 231 355
18 294 320
94 281 330
87 231 335
18 244 315
99 202 373
76 274 397
45 205 354
99 292 312
22 228 347
31 243 377
24 290 386
48 254 342
65 296 340
53 223 321
96 257 365
80 221 354
20 275 342
16 255 308
87 219 358
42 279 301
51 256 377
71 246 369
35 229 321
34 274 335
8 222 371
38 267 347
4 234 322
85 243 302
35 207 309
94 240 358
36 253 377
43 268 338
47 238 332
61 299 397
38 228 378
69 257 301
6 262 346
49 298 332
26 248 345
35 239 391
17 284 369
11 229 354
14 244 354
95 238 393
29 280 357
7 288 397
13 257 392
16 215 399
19 277 352
36 231 375
70 267 399
21 247 384
96 200 381
7 279 365
64 292 303
40 200 317
98 264 333
76 200 330
36 259 364
74 300 365
18 233 320
27 260 344
29 280 400
13 209 387
28 298 340
7 241 384
17 280 396
64 298 382
32 229 383
84 278 308
5 231 376
95 280 361
78 253 310
71 295 369
39 220 390
36 287 309
50 275 310
23 221 329
29 250 360
45 238 312
47 253 342
65 268 357
37 252 320
85 254 399
8 206 385
96 227 343
85 240 322
47 262 372
3 258 364
37 208 379
98 287 378
90 280 381
81 271 339
37 256 351
8 218 387
47 287 346
2 229 367
53 284 399
16 279 315
97 228 372
94 288 387
7 251 372
88 264 303
80 223 370
17 271 388
8 203 384
71 215 397
41 256 331
71 274 330
28 295 344
78 201 321
91 252 388
44 215 346
83 296 375
80 226 334
41 247 397
26 262 359
25 275 337
16 272 301
74 250 397
27 281 373
62 233 324
42 295 355
1 236 337
6 262 349
82 235 389
66 296 348
69 263 335
8 228 386
5 257 309
72 237 400
51 203 354
85 227 372
72 299 330
67 249 366
54 255 314
76 268 315
76 221 351
44 221 317
83 267 349
33 264 370
80 231 340
12 257 384
61 272 390
48 297 391
91 286 322
26 283 320
37 217 388
44 254 306
19 253 357
50 298 317
1 239 390
32 204 377
60 267 308
81 266 315
68 213 397
65 298 373
100 292 314
