40000
49 48 179 67 76 49 95
67 66 172 46 114 85 59
86 85 191 55 82 66 69
51 50 157 35 126 81 112
38 37 195 46 146 82 72
7 6 164 64 138 68 72
33 32 172 39 82 104 95
58 57 173 67 62 78 86
65 64 166 64 156 109 84
54 53 171 57 180 87 98
43 42 171 54 116 100 90
95 94 177 63 126 82 76
67 66 132 63 114 76 76
41 40 174 57 121 72 90
68 67 190 53 169 52 92
31 30 141 51 194 95 82
84 83 171 59 90 74 73
44 43 190 44 133 68 95
44 43 128 76 110 86 95
48 47 151 70 98 70 54
19 18 169 70 129 79 67
81 80 160 65 138 73 87
49 48 171 65 118 75 90
58 57 162 56 169 96 78
97 96 177 68 147 88 79
35 34 170 56 119 117 90
4 3 162 59 135 92 120
20 19 176 69 115 84 60
49 48 169 57 206 98 86
47 46 190 81 136 58 93
83 82 140 50 130 82 66
65 64 171 51 61 127 90
40 39 178 60 77 78 70
10 9 168 66 126 68 91
38 37 176 59 99 79 113
55 54 193 74 94 86 63
41 40 156 67 107 95 67
45 44 198 63 155 80 90
68 67 170 68 170 84 78
34 33 159 62 172 79 96
37 36 168 57 108 82 97
75 74 211 50 83 25 85
53 52 147 46 125 52 118
77 76 183 61 48 78 65
32 31 146 56 64 86 90
44 43 177 82 82 67 101
27 26 167 39 164 75 96
53 52 175 51 173 81 69
67 66 180 49 185 95 64
58 57 165 58 174 41 58
69 68 171 68 219 31 87
43 42 177 76 134 69 66
24 23 159 57 94 13 57
61 60 161 71 114 85 79
24 23 172 42 156 91 99
37 36 165 72 108 82 75
14 13 154 62 176 84 52
32 31 169 56 86 85 94
48 47 190 73 118 54 81
35 34 157 53 40 78 94
68 67 183 61 87 73 77
64 63 161 57 152 89 63
37 36 178 67 166 70 77
52 51 183 50 108 81 55
47 46 167 46 48 82 81
56 55 188 54 123 89 91
27 26 172 55 119 53 49
35 34 170 63 83 56 93
15 14 168 73 69 63 66
79 78 183 70 77 74 45
58 57 161 59 215 40 95
31 30 194 52 140 51 59
69 68 196 65 154 48 111
25 24 147 58 132 86 76
36 35 199 68 100 73 89
61 60 159 73 142 74 72
56 55 168 53 114 81 71
106 105 148 89 4 88 89
39 38 183 68 140 85 91
30 29 173 71 122 52 64
87 86 141 70 111 83 78
47 46 192 58 150 91 79
67 66 193 73 154 25 76
49 48 165 60 78 87 73
69 68 173 50 75 75 75
58 57 184 63 83 74 75
52 51 134 58 133 77 98
86 85 184 60 42 54 101
50 49 161 61 186 87 83
64 63 175 69 115 79 77
25 24 166 63 130 79 88
56 55 154 58 148 81 80
45 44 171 65 128 75 64
44 43 181 64 78 93 69
55 54 145 47 67 68 71
62 61 179 65 139 94 82
78 77 163 49 140 95 78
67 66 159 61 138 49 90
5 4 176 56 135 95 89
78 77 178 69 189 87 87
54 53 174 55 24 103 73
49 48 148 55 137 74 69
46 45 172 54 96 77 39
37 36 160 72 110 74 103
84 83 157 63 126 62 92
84 83 168 62 95 104 90
35 34 172 58 167 106 79
36 35 168 61 147 38 73
57 56 175 66 99 39 91
23 22 180 49 82 79 72
81 80 168 46 89 101 100
75 74 145 57 102 78 67
59 58 184 58 137 57 92
50 49 184 65 65 98 75
61 60 143 66 105 81 62
66 65 174 66 100 81 78
68 67 153 62 77 97 94
41 40 177 56 186 78 83
37 36 182 67 157 70 94
59 58 158 31 115 129 67
41 40 170 64 141 79 50
63 62 200 49 126 73 72
10 9 170 65 218 62 72
1 0 149 49 81 103 109
77 76 165 54 182 87 69
26 25 176 72 91 100 73
52 51 184 70 48 79 76
59 58 170 57 78 67 70
63 62 185 47 188 57 71
39 38 176 51 90 73 79
54 53 179 60 167 117 65
37 36 154 70 155 121 55
46 45 189 61 167 91 96
46 45 179 62 139 73 83
55 54 159 59 48 77 73
57 56 181 58 146 83 80
52 51 181 63 125 82 59
66 65 178 54 135 90 90
34 33 160 63 185 59 94
57 56 128 64 32 73 83
25 24 157 44 183 60 111
23 22 167 79 148 83 76
73 72 197 66 127 58 65
53 52 163 64 88 75 42
53 52 153 54 156 52 78
45 44 198 88 128 62 73
59 58 206 56 169 76 79
41 40 168 58 136 81 71
88 87 173 67 106 82 103
62 61 193 60 112 90 78
93 92 146 42 205 63 66
48 47 177 77 99 96 69
83 82 158 49 164 80 90
63 62 195 65 103 67 88
50 49 179 70 145 92 73
82 81 154 59 117 66 100
37 36 170 66 103 95 71
83 82 156 54 75 61 88
35 34 184 61 130 53 39
41 40 165 56 156 118 92
51 50 147 47 143 83 53
23 22 157 68 126 109 78
19 18 163 50 147 88 76
41 40 168 61 114 90 77
59 58 169 58 135 60 85
74 73 161 39 127 51 58
51 50 145 63 104 94 105
82 81 165 68 109 57 117
23 22 185 72 66 80 77
68 67 172 65 70 69 74
80 79 154 60 104 81 88
47 46 158 65 155 36 47
78 77 175 33 127 102 74
52 51 164 47 140 104 66
40 39 170 52 152 80 80
41 40 176 48 129 65 71
38 37 170 81 142 93 80
70 69 155 54 94 52 75
41 40 191 87 102 78 59
43 42 127 75 173 82 90
49 48 174 74 160 82 60
40 39 175 74 76 60 51
80 79 180 70 231 62 85
46 45 187 51 53 80 73
62 61 191 52 63 110 76
32 31 168 70 124 105 84
58 57 195 60 152 105 58
62 61 177 73 211 73 109
47 46 171 63 135 116 75
56 55 169 54 181 91 106
51 50 146 58 167 92 81
24 23 196 60 165 64 78
43 42 159 57 135 81 103
43 42 187 50 162 79 77
38 37 167 67 80 55 75
1 2 176 68 84 95 65
71 70 192 65 175 73 73
30 29 164 59 63 131 67
77 76 174 52 140 75 62
61 60 172 47 130 72 76
6 7 159 70 148 88 70
48 47 150 50 101 84 74
50 49 184 65 29 91 78
24 23 154 69 177 62 82
56 55 148 50 128 34 84
63 62 181 67 153 99 67
59 58 167 43 97 93 39
19 18 154 61 155 90 95
13 12 190 45 87 68 92
66 65 164 60 150 68 125
74 73 173 64 177 70 86
36 35 145 50 126 60 81
18 17 167 45 95 69 85
63 62 154 49 120 97 91
65 64 162 57 133 84 95
36 35 145 65 95 101 63
54 53 189 48 111 85 73
68 67 148 52 176 76 79
58 57 190 44 115 69 56
56 55 190 34 81 55 76
78 77 139 64 80 105 52
58 57 155 65 150 90 63
70 69 183 74 168 90 74
61 60 172 67 159 96 35
49 48 183 68 112 78 91
12 11 148 65 151 90 70
65 64 173 59 186 17 49
27 26 171 59 107 90 72
10 9 190 53 184 69 76
78 77 140 40 50 107 70
59 58 147 69 40 64 72
33 32 168 71 185 57 68
37 36 169 67 134 63 88
45 44 149 65 118 96 74
36 35 199 78 112 50 49
57 56 178 55 138 55 92
27 26 172 55 110 42 81
61 60 178 44 107 90 47
63 62 153 46 173 61 58
44 43 155 62 98 86 72
32 31 184 71 55 79 80
30 29 145 71 164 106 106
31 30 164 75 151 59 92
55 54 163 57 52 103 104
60 59 173 45 121 45 99
48 47 155 53 186 100 51
49 48 166 81 102 119 88
18 17 173 57 122 39 85
47 46 150 53 70 53 65
46 45 151 60 109 110 65
67 66 154 61 138 78 85
38 37 196 57 74 66 89
78 77 173 67 78 45 99
62 61 186 75 192 93 73
22 21 155 55 130 71 63
16 15 152 65 95 95 84
71 70 178 60 116 43 66
54 53 172 57 81 107 122
42 41 184 68 195 107 71
66 65 167 63 69 59 70
71 70 168 64 122 81 94
82 81 165 59 129 93 79
13 12 174 66 85 59 78
55 54 145 53 168 44 98
21 20 178 70 91 73 75
38 37 170 44 147 82 87
21 20 171 61 42 90 70
63 62 180 69 112 75 66
80 79 177 55 148 72 78
33 32 162 57 59 76 91
10 9 178 54 157 60 111
37 36 167 66 124 105 86
58 57 165 64 172 83 101
17 16 169 66 157 71 90
55 54 178 62 139 86 81
45 44 197 68 153 65 86
58 57 156 57 126 69 85
49 48 187 42 68 92 48
91 90 154 71 61 29 78
42 41 149 61 54 72 87
18 17 171 55 100 36 85
82 81 167 56 77 81 64
73 72 174 61 105 65 93
58 57 140 68 123 34 114
64 63 193 49 108 62 67
72 71 176 69 207 46 101
75 74 121 47 76 61 94
90 89 156 74 82 63 87
45 44 157 68 113 37 79
69 68 155 33 138 95 79
24 23 186 51 115 74 82
37 36 172 45 105 60 76
32 31 183 66 53 64 59
56 55 160 67 136 48 109
40 39 172 70 161 75 101
55 54 167 69 128 117 54
32 31 186 46 104 63 58
62 61 147 61 96 76 78
60 59 202 50 135 82 93
43 42 182 54 160 103 97
82 81 164 71 145 70 65
29 28 152 79 179 73 79
69 68 177 62 146 63 70
65 64 188 73 138 62 78
68 67 190 45 150 102 83
54 53 190 75 22 92 64
25 24 186 48 146 89 78
59 58 144 78 81 89 55
49 48 160 55 93 87 85
60 59 166 63 115 71 86
67 66 165 57 116 100 91
58 57 143 50 107 69 95
